date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:52:58	90528/90528	---M--	200	added ('OK')	font/woff2	etag:%226664576a-161a0%22	https://www.nightfn.com/fonts/bootstrap-icons63f363f363f3.woff2	E:/ezezezez/www.nightfn.com/fonts/bootstrap-icons63f363f363f3.woff2	(from https://www.nightfn.com/css/bootstrap-icons.css)
19:52:59	120468/120468	---M--	200	added ('OK')	font/woff	etag:%226664576a-1d694%22	https://www.nightfn.com/fonts/bootstrap-icons63f363f363f3.woff	E:/ezezezez/www.nightfn.com/fonts/bootstrap-icons63f363f363f3.woff	(from https://www.nightfn.com/css/bootstrap-icons.css)
19:53:00	403228/403228	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226664576b-6271c%22	https://www.nightfn.com/fonts/remixicondf6ddf6ddf6d.eot	E:/ezezezez/www.nightfn.com/fonts/remixicondf6ddf6ddf6d.eot	(from https://www.nightfn.com/css/remixicon.css)
19:53:01	125268/125268	---M--	200	added ('OK')	font/woff2	etag:%226664576c-1e954%22	https://www.nightfn.com/fonts/remixicondf6ddf6ddf6d.woff2	E:/ezezezez/www.nightfn.com/fonts/remixicondf6ddf6ddf6d.woff2	(from https://www.nightfn.com/css/remixicon.css)
19:53:02	172876/172876	---M--	200	added ('OK')	font/woff	etag:%226664576c-2a34c%22	https://www.nightfn.com/fonts/remixicondf6ddf6ddf6d.woff	E:/ezezezez/www.nightfn.com/fonts/remixicondf6ddf6ddf6d.woff	(from https://www.nightfn.com/css/remixicon.css)
19:53:03	403056/403056	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%226664576c-62670%22	https://www.nightfn.com/fonts/remixicondf6ddf6ddf6d.ttf	E:/ezezezez/www.nightfn.com/fonts/remixicondf6ddf6ddf6d.ttf	(from https://www.nightfn.com/css/remixicon.css)
19:53:03	701914/701914	---M--	200	added ('OK')	image/png	etag:%2266645771-ab5da%22	https://www.nightfn.com/images/hero-bg.png	E:/ezezezez/www.nightfn.com/images/hero-bg.png	(from https://www.nightfn.com/css/style.css)
19:53:03	1195522/1195522	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226664576b-123e02%22	https://www.nightfn.com/fonts/remixicondf6ddf6ddf6d.svg	E:/ezezezez/www.nightfn.com/fonts/remixicondf6ddf6ddf6d.svg	(from https://www.nightfn.com/css/remixicon.css)
19:53:03	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202024%2017:53:05%20GMT	https://www.nightfn.com/tlo.html	E:/ezezezez/www.nightfn.com/tlo.html	(from https://www.nightfn.com/css/style.css)
19:53:04	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202024%2017:53:05%20GMT	https://www.nightfn.com/team-shape.html	E:/ezezezez/www.nightfn.com/team-shape.html	(from https://www.nightfn.com/css/style.css)
19:53:04	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202024%2017:53:05%20GMT	https://www.nightfn.com/footer-bg.html	E:/ezezezez/www.nightfn.com/footer-bg.html	(from https://www.nightfn.com/css/style.css)
19:53:04	33369/33369	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Jun%202024%2013:06:34%20GMT	https://www.nightfn.com/index.html	E:/ezezezez/www.nightfn.com/index-4.html	(from https://www.nightfn.com/TOS.html)
19:53:05	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202024%2017:53:06%20GMT	https://www.nightfn.com/assets/vendor/bootstrap/js/bootstrap.bundle.js	E:/ezezezez/www.nightfn.com/assets/vendor/bootstrap/js/bootstrap.bundle.js	(from https://www.nightfn.com/TOS.html)
19:53:05	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202024%2017:53:06%20GMT	https://www.nightfn.com/assets/vendor/aos/aos.js	E:/ezezezez/www.nightfn.com/assets/vendor/aos/aos.js	(from https://www.nightfn.com/TOS.html)
19:53:05	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202024%2017:53:07%20GMT	https://www.nightfn.com/assets/vendor/php-email-form/validate.js	E:/ezezezez/www.nightfn.com/assets/vendor/php-email-form/validate.js	(from https://www.nightfn.com/TOS.html)
19:53:06	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202024%2017:53:07%20GMT	https://www.nightfn.com/assets/vendor/swiper/swiper-bundle.min.js	E:/ezezezez/www.nightfn.com/assets/vendor/swiper/swiper-bundle.min.js	(from https://www.nightfn.com/TOS.html)
19:53:06	548/548	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202024%2017:53:07%20GMT	https://nightfn.com/assets/vendor/purecounter/purecounter.js	E:/ezezezez/nightfn.com/assets/vendor/purecounter/purecounter.34.delayed	(from https://www.nightfn.com/TOS.html)
19:53:06	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202024%2017:53:08%20GMT	https://www.nightfn.com/assets/vendor/isotope-layout/isotope.pkgd.min.js	E:/ezezezez/www.nightfn.com/assets/vendor/isotope-layout/isotope.pkgd.min.js	(from https://www.nightfn.com/TOS.html)
19:53:07	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202024%2017:53:08%20GMT	https://www.nightfn.com/assets/vendor/glightbox/js/glightbox.min.js	E:/ezezezez/www.nightfn.com/assets/vendor/glightbox/js/glightbox.min.js	(from https://www.nightfn.com/TOS.html)
19:53:07	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202024%2017:53:09%20GMT	https://www.nightfn.com/assets/js/main.js	E:/ezezezez/www.nightfn.com/assets/js/main.js	(from https://www.nightfn.com/TOS.html)
19:53:07	548/548	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202024%2017:53:09%20GMT	https://nightfn.com/assets/img/testimonials/main.png	E:/ezezezez/nightfn.com/assets/img/testimonials/main.png	(from https://www.nightfn.com/feedback.html)
